Input: x?x; Output: x? x
Input: jojo ! majo ,     hehehehe?  jo . kok; Output: jojo! majo, hehehehe? jo. kok
Input: ff ! ff; Output: ff! ff
Input: incen q; Output: incen q
Input: galileo  was  born  in  pisa; Output: galileo was born in pisa
Input: galileo galilei was an italian physicist, mathematician, astronomer; Output: galileo galilei was an italian physicist, mathematician, astronomer
Input: a, a; Output: a, a
Input: k  ?   gq    dad; Output: k? gq dad
Input: a!a a  !  a  ?  a ! a , a . a aaaaaa ! a ! a. a a .a a.a aa.aa aa . aa            aa .aa  aa. aa; Output: a! a a! a? a! a, a. a aaaaaa! a! a. a a. a a. a aa. aa aa. aa aa. aa aa. aa
Input: a!n , to; Output: a! n, to
Input: ab cd,k; Output: ab cd, k
Input: a!a a ! a ? a ! a , a . a; Output: a! a a! a? a! a, a. a
Input: a!a?a ! a ? a; Output: a! a? a! a? a
Input: jojo ! maja . jaooo; Output: jojo! maja. jaooo
Input: physicist  ?mathematician.astronomer; Output: physicist? mathematician. astronomer
Input: a!a!a!a; Output: a! a! a! a
Input: galileo galilei was an   italian physicist  ,mathematician,astronomer; Output: galileo galilei was an italian physicist, mathematician, astronomer
Input: x!x; Output: x! x
Input: anton!love ?yourself; Output: anton! love? yourself
Input: kjdsf, kdjf?kjdf!kj kdjf; Output: kjdsf, kdjf? kjdf! kj kdjf
Input: a?a?a?a.a; Output: a? a? a? a. a
Input: a?  x; Output: a? x
Input: facepalm ? yes , lol ! yeah; Output: facepalm? yes, lol! yeah
Input: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa...; Output: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa...
Input: x x; Output: x x
Input: asdasdasd.asdasdasdasd?asdasdasd!asdasdasd,asdasdasdasd; Output: asdasdasd. asdasdasdasd? asdasdasd! asdasdasd, asdasdasdasd
Input: jjcmhwnon   taetfgdvc,  ysrajurstj !   fryavybwpg  hnxbnsron ,txplbmm atw?wkfhn  ez  mcdn     tujsy      wrdhw   . k  i lzwtxcyam     fi  .  nyeu j; Output: jjcmhwnon taetfgdvc, ysrajurstj! fryavybwpg hnxbnsron, txplbmm atw? wkfhn ez mcdn tujsy wrdhw. k i lzwtxcyam fi. nyeu j
Input: jkhksdfhsdfsf; Output: jkhksdfhsdfsf
Input: a,  a; Output: a, a
Input: dolphi    !    nigle; Output: dolphi! nigle
Input: a ! b; Output: a! b
Input: ksdfk sdlfsdf sdf sdf sdf; Output: ksdfk sdlfsdf sdf sdf sdf
Input: galileo galilei was an   italian physicist  ,  mathematician,astronomer; Output: galileo galilei was an italian physicist, mathematician, astronomer
Input: adf!kadjf?kajdf,lkdas. kd ! akdjf; Output: adf! kadjf? kajdf, lkdas. kd! akdjf
Input: gg    gg,h,h,j,i,jh   , jjj ,  jj ,aadd , jjj jjj; Output: gg gg, h, h, j, i, jh, jjj, jj, aadd, jjj jjj
Input: a!a; Output: a! a
Input: a, b; Output: a, b
Input: abcabc,    abcabc; Output: abcabc, abcabc
Input: dfgdfg ? ddfgdsfg ? dsfgdsfgsdfgdsf   !   dsfg . sd dsg sdg !   sdfg; Output: dfgdfg? ddfgdsfg? dsfgdsfgsdfgdsf! dsfg. sd dsg sdg! sdfg
Input: x; Output: x
Input: galileo galilei was an   italian physicist  ,mathematician,astronomer?asdf  ?asdfff?asdf. asdf.dfd  .dfdf   ?  df d! sdf dsfsa   sdf  !   asdf ? sdfsdf, dfg   a   ! b ?a; Output: galileo galilei was an italian physicist, mathematician, astronomer? asdf? asdfff? asdf. asdf. dfd. dfdf? df d! sdf dsfsa sdf! asdf? sdfsdf, dfg a! b? a
Input: a.a.a.a; Output: a. a. a. a
Input: mck  . gq   dauqminf      wee   bazyzy     humnv    d pgtvx  , vxntxgrkrc    rg    rwr,  uuyweyz  l; Output: mck. gq dauqminf wee bazyzy humnv d pgtvx, vxntxgrkrc rg rwr, uuyweyz l
Input: a ! a; Output: a! a
Input: chcf  htb flfwkosmda    a    qygyompixkgz  ?rg?  hdw   f   dsvqzs     kxvjt ?  zj    zghgarwihw   zgrhr  xlwmhv   .  lycpsmdm    iotv  .   d jhsxoogbr  !   ppgrpwcrcl      inw usegrtd  ?fexma ?   mhszrvdoa   ,audsrhina  epoleuq     oaz   hqapedl   lm; Output: chcf htb flfwkosmda a qygyompixkgz? rg? hdw f dsvqzs kxvjt? zj zghgarwihw zgrhr xlwmhv. lycpsmdm iotv. d jhsxoogbr! ppgrpwcrcl inw usegrtd? fexma? mhszrvdoa, audsrhina epoleuq oaz hqapedl lm
Input: z zz zz z z! z z aksz zkjsdfz kajfz z !akj , zz a z; Output: z zz zz z z! z z aksz zkjsdfz kajfz z! akj, zz a z
Input: a!b; Output: a! b
Input: casa?mesa, y unos    de   , los sapotes?l; Output: casa? mesa, y unos de, los sapotes? l
Input: u, sux; Output: u, sux
Input: a , b; Output: a, b
Input: dolphi ! nigle; Output: dolphi! nigle
Input: read problem carefully ! heh; Output: read problem carefully! heh
Input: i love evgenia x! x; Output: i love evgenia x! x
Input: mt test   !  case; Output: mt test! case
Input: xx; Output: xx
Input: a a a a a; Output: a a a a a
Input: x.x; Output: x. x
Input: x,   werwr, werwerwr we,rwer ,wer; Output: x, werwr, werwerwr we, rwer, wer
Input: a  ,  a; Output: a, a
Input: fff , fff; Output: fff, fff
Input: ntomzzut  !pousysvfg ,rnl   mcyytihe     hplnqnb; Output: ntomzzut! pousysvfg, rnl mcyytihe hplnqnb
Input: af ! kadjf ? kjdfkj!kjadkfjz z z a a! ka,kjf; Output: af! kadjf? kjdfkj! kjadkfjz z z a a! ka, kjf
Input: ahmed? ahmed ? ahmed ?ahmed; Output: ahmed? ahmed? ahmed? ahmed
Input: adskfj,kjdf?kjadf kj!kajs f; Output: adskfj, kjdf? kjadf kj! kajs f
Input: i love evgenia   ! x; Output: i love evgenia! x
Input: gdv; Output: gdv
Input: italian physicist  .mathematician?astronomer; Output: italian physicist. mathematician? astronomer
Input: a!a!a; Output: a! a! a
Input: x,   x,  ds  ,ertert,   ert, et  et; Output: x, x, ds, ertert, ert, et et
Input: x,x; Output: x, x
Input: a. v; Output: a. v
