2	'{}{}{}'.format(text, text[:m], text[n:])	abcdefgabcacdefgabc
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
4	range(n, len(text) - m)	range(2, 18)
4	len(text)	19
